v1	V(v_out)
Step Information: Run=1  (Run: 1/500)
6.500000000000000e-001	2.435232e-001
7.000000000000001e-001	2.622557e-001
7.500000000000001e-001	2.809883e-001
8.000000000000002e-001	2.997209e-001
8.500000000000002e-001	3.184534e-001
9.000000000000002e-001	3.371859e-001
9.500000000000003e-001	3.559185e-001
1.000000000000000e+000	3.746510e-001
Step Information: Run=15  (Run: 15/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.877954e-002
1.000000000000000e-001	3.755908e-002
1.500000000000000e-001	5.633863e-002
2.000000000000000e-001	7.511817e-002
2.500000000000000e-001	9.389772e-002
3.000000000000000e-001	1.126773e-001
3.500000000000000e-001	1.314568e-001
4.000000000000000e-001	1.502363e-001
4.500000000000000e-001	1.690159e-001
4.999999999999999e-001	1.877954e-001
5.499999999999999e-001	2.065750e-001
6.000000000000000e-001	2.253545e-001
6.500000000000000e-001	2.441341e-001
7.000000000000001e-001	2.629136e-001
7.500000000000001e-001	2.816931e-001
8.000000000000002e-001	3.004727e-001
8.500000000000002e-001	3.192522e-001
9.000000000000002e-001	3.380318e-001
9.500000000000003e-001	3.568113e-001
1.000000000000000e+000	3.755909e-001
Step Information: Run=16  (Run: 16/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.876099e-002
1.000000000000000e-001	3.752198e-002
1.500000000000000e-001	5.628297e-002
2.000000000000000e-001	7.504396e-002
2.500000000000000e-001	9.380495e-002
3.000000000000000e-001	1.125659e-001
3.500000000000000e-001	1.313269e-001
4.000000000000000e-001	1.500879e-001
4.500000000000000e-001	1.688489e-001
4.999999999999999e-001	1.876099e-001
5.499999999999999e-001	2.063709e-001
6.000000000000000e-001	2.251319e-001
6.500000000000000e-001	2.438929e-001
7.000000000000001e-001	2.626539e-001
7.500000000000001e-001	2.814148e-001
8.000000000000002e-001	3.001758e-001
8.500000000000002e-001	3.189368e-001
9.000000000000002e-001	3.376978e-001
9.500000000000003e-001	3.564588e-001
1.000000000000000e+000	3.752198e-001
Step Information: Run=17  (Run: 17/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.875829e-002
1.000000000000000e-001	3.751658e-002
1.500000000000000e-001	5.627486e-002
2.000000000000000e-001	7.503315e-002
2.500000000000000e-001	9.379144e-002
3.000000000000000e-001	1.125497e-001
3.500000000000000e-001	1.313080e-001
4.000000000000000e-001	1.500663e-001
4.500000000000000e-001	1.688246e-001
4.999999999999999e-001	1.875829e-001
5.499999999999999e-001	2.063412e-001
6.000000000000000e-001	2.250995e-001
6.500000000000000e-001	2.438578e-001
7.000000000000001e-001	2.626160e-001
7.500000000000001e-001	2.813743e-001
8.000000000000002e-001	3.001326e-001
8.500000000000002e-001	3.188909e-001
9.000000000000002e-001	3.376492e-001
9.500000000000003e-001	3.564075e-001
1.000000000000000e+000	3.751658e-001
Step Information: Run=18  (Run: 18/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.875507e-002
1.000000000000000e-001	3.751015e-002
1.500000000000000e-001	5.626522e-002
2.000000000000000e-001	7.502030e-002
2.500000000000000e-001	9.377537e-002
3.000000000000000e-001	1.125304e-001
3.500000000000000e-001	1.312855e-001
4.000000000000000e-001	1.500406e-001
4.500000000000000e-001	1.687957e-001
4.999999999999999e-001	1.875507e-001
5.499999999999999e-001	2.063058e-001
6.000000000000000e-001	2.250609e-001
6.500000000000000e-001	2.438160e-001
7.000000000000001e-001	2.625710e-001
7.500000000000001e-001	2.813261e-001
8.000000000000002e-001	3.000812e-001
8.500000000000002e-001	3.188363e-001
9.000000000000002e-001	3.375914e-001
9.500000000000003e-001	3.563464e-001
1.000000000000000e+000	3.751015e-001
Step Information: Run=19  (Run: 19/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.873762e-002
1.000000000000000e-001	3.747524e-002
1.500000000000000e-001	5.621286e-002
2.000000000000000e-001	7.495048e-002
2.500000000000000e-001	9.368810e-002
3.000000000000000e-001	1.124257e-001
3.500000000000000e-001	1.311633e-001
4.000000000000000e-001	1.499010e-001
4.500000000000000e-001	1.686386e-001
4.999999999999999e-001	1.873762e-001
5.499999999999999e-001	2.061138e-001
6.000000000000000e-001	2.248514e-001
6.500000000000000e-001	2.435891e-001
7.000000000000001e-001	2.623267e-001
7.500000000000001e-001	2.810643e-001
8.000000000000002e-001	2.998019e-001
8.500000000000002e-001	3.185395e-001
9.000000000000002e-001	3.372772e-001
9.500000000000003e-001	3.560148e-001
1.000000000000000e+000	3.747524e-001
Step Information: Run=20  (Run: 20/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.875398e-002
1.000000000000000e-001	3.750795e-002
1.500000000000000e-001	5.626193e-002
2.000000000000000e-001	7.501591e-002
2.500000000000000e-001	9.376989e-002
3.000000000000000e-001	1.125239e-001
3.500000000000000e-001	1.312778e-001
4.000000000000000e-001	1.500318e-001
4.500000000000000e-001	1.687858e-001
4.999999999999999e-001	1.875398e-001
5.499999999999999e-001	2.062937e-001
6.000000000000000e-001	2.250477e-001
6.500000000000000e-001	2.438017e-001
7.000000000000001e-001	2.625557e-001
7.500000000000001e-001	2.813096e-001
8.000000000000002e-001	3.000636e-001
8.500000000000002e-001	3.188176e-001
9.000000000000002e-001	3.375716e-001
9.500000000000003e-001	3.563256e-001
1.000000000000000e+000	3.750795e-001
Step Information: Run=21  (Run: 21/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.878389e-002
1.000000000000000e-001	3.756779e-002
1.500000000000000e-001	5.635168e-002
2.000000000000000e-001	7.513557e-002
2.500000000000000e-001	9.391947e-002
3.000000000000000e-001	1.127034e-001
3.500000000000000e-001	1.314873e-001
4.000000000000000e-001	1.502711e-001
4.500000000000000e-001	1.690550e-001
4.999999999999999e-001	1.878389e-001
5.499999999999999e-001	2.066228e-001
6.000000000000000e-001	2.254067e-001
6.500000000000000e-001	2.441906e-001
7.000000000000001e-001	2.629745e-001
7.500000000000001e-001	2.817584e-001
8.000000000000002e-001	3.005423e-001
8.500000000000002e-001	3.193262e-001
9.000000000000002e-001	3.381101e-001
9.500000000000003e-001	3.568940e-001
1.000000000000000e+000	3.756779e-001
Step Information: Run=22  (Run: 22/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.874650e-002
1.000000000000000e-001	3.749301e-002
1.500000000000000e-001	5.623951e-002
2.000000000000000e-001	7.498601e-002
2.500000000000000e-001	9.373251e-002
3.000000000000000e-001	1.124790e-001
3.500000000000000e-001	1.312255e-001
4.000000000000000e-001	1.499720e-001
4.500000000000000e-001	1.687185e-001
4.999999999999999e-001	1.874650e-001
5.499999999999999e-001	2.062115e-001
6.000000000000000e-001	2.249580e-001
6.500000000000000e-001	2.437045e-001
7.000000000000001e-001	2.624510e-001
7.500000000000001e-001	2.811975e-001
8.000000000000002e-001	2.999440e-001
8.500000000000002e-001	3.186905e-001
9.000000000000002e-001	3.374370e-001
9.500000000000003e-001	3.561836e-001
1.000000000000000e+000	3.749301e-001
Step Information: Run=23  (Run: 23/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.874065e-002
1.000000000000000e-001	3.748130e-002
1.500000000000000e-001	5.622196e-002
2.000000000000000e-001	7.496261e-002
2.500000000000000e-001	9.370326e-002
3.000000000000000e-001	1.124439e-001
3.500000000000000e-001	1.311846e-001
4.000000000000000e-001	1.499252e-001
4.500000000000000e-001	1.686659e-001
4.999999999999999e-001	1.874065e-001
5.499999999999999e-001	2.061472e-001
6.000000000000000e-001	2.248878e-001
6.500000000000000e-001	2.436285e-001
7.000000000000001e-001	2.623692e-001
7.500000000000001e-001	2.811098e-001
8.000000000000002e-001	2.998504e-001
8.500000000000002e-001	3.185911e-001
9.000000000000002e-001	3.373317e-001
9.500000000000003e-001	3.560724e-001
1.000000000000000e+000	3.748131e-001
Step Information: Run=24  (Run: 24/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.875325e-002
1.000000000000000e-001	3.750651e-002
1.500000000000000e-001	5.625976e-002
2.000000000000000e-001	7.501302e-002
2.500000000000000e-001	9.376627e-002
3.000000000000000e-001	1.125195e-001
3.500000000000000e-001	1.312728e-001
4.000000000000000e-001	1.500260e-001
4.500000000000000e-001	1.687793e-001
4.999999999999999e-001	1.875325e-001
5.499999999999999e-001	2.062858e-001
6.000000000000000e-001	2.250390e-001
6.500000000000000e-001	2.437923e-001
7.000000000000001e-001	2.625456e-001
7.500000000000001e-001	2.812988e-001
8.000000000000002e-001	3.000521e-001
8.500000000000002e-001	3.188053e-001
9.000000000000002e-001	3.375586e-001
9.500000000000003e-001	3.563118e-001
1.000000000000000e+000	3.750651e-001
Step Information: Run=25  (Run: 25/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.873251e-002
1.000000000000000e-001	3.746502e-002
1.500000000000000e-001	5.619754e-002
2.000000000000000e-001	7.493005e-002
2.500000000000000e-001	9.366256e-002
3.000000000000000e-001	1.123951e-001
3.500000000000000e-001	1.311276e-001
4.000000000000000e-001	1.498601e-001
4.500000000000000e-001	1.685926e-001
4.999999999999999e-001	1.873251e-001
5.499999999999999e-001	2.060576e-001
6.000000000000000e-001	2.247902e-001
6.500000000000000e-001	2.435227e-001
7.000000000000001e-001	2.622552e-001
7.500000000000001e-001	2.809877e-001
