v1	I(V2)	I(V3)	I(V4)	I(V5)
Step Information: Run=1  (Run: 1/500)
9.990000000000001e-001	9.956591e-005	5.009075e-005	2.490987e-005	1.246478e-005
1.000000000000000e+000	9.966558e-005	5.014089e-005	2.493480e-005	1.247726e-005
Step Information: Run=23  (Run: 23/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.328933e-005	1.663030e-005	8.316338e-006	4.165424e-006
6.660000000000000e-001	6.657866e-005	3.326061e-005	1.663268e-005	8.330849e-006
9.990000000000001e-001	9.986800e-005	4.989091e-005	2.494901e-005	1.249627e-005
1.000000000000000e+000	9.996797e-005	4.994085e-005	2.497399e-005	1.250878e-005
Step Information: Run=24  (Run: 24/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.337933e-005	1.658211e-005	8.324333e-006	4.171877e-006
6.660000000000000e-001	6.675866e-005	3.316422e-005	1.664867e-005	8.343754e-006
9.990000000000001e-001	1.001380e-004	4.974633e-005	2.497300e-005	1.251563e-005
1.000000000000000e+000	1.002382e-004	4.979613e-005	2.499800e-005	1.252816e-005
Step Information: Run=25  (Run: 25/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.341644e-005	1.664817e-005	8.337482e-006	4.168191e-006
6.660000000000000e-001	6.683288e-005	3.329634e-005	1.667496e-005	8.336383e-006
9.990000000000001e-001	1.002493e-004	4.994451e-005	2.501245e-005	1.250457e-005
1.000000000000000e+000	1.003497e-004	4.999450e-005	2.503748e-005	1.251709e-005
Step Information: Run=26  (Run: 26/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.320564e-005	1.662793e-005	8.335641e-006	4.178371e-006
6.660000000000000e-001	6.641127e-005	3.325586e-005	1.667128e-005	8.356742e-006
9.990000000000001e-001	9.961691e-005	4.988378e-005	2.500692e-005	1.253511e-005
1.000000000000000e+000	9.971663e-005	4.993372e-005	2.503195e-005	1.254766e-005
Step Information: Run=27  (Run: 27/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.331735e-005	1.664423e-005	8.318052e-006	4.161914e-006
6.660000000000000e-001	6.663470e-005	3.328847e-005	1.663610e-005	8.323827e-006
9.990000000000001e-001	9.995204e-005	4.993270e-005	2.495416e-005	1.248574e-005
1.000000000000000e+000	1.000521e-004	4.998269e-005	2.497914e-005	1.249824e-005
Step Information: Run=28  (Run: 28/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.333723e-005	1.665189e-005	8.330236e-006	4.167375e-006
6.660000000000000e-001	6.667445e-005	3.330378e-005	1.666047e-005	8.334750e-006
9.990000000000001e-001	1.000117e-004	4.995566e-005	2.499071e-005	1.250213e-005
1.000000000000000e+000	1.001118e-004	5.000567e-005	2.501572e-005	1.251464e-005
Step Information: Run=29  (Run: 29/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.328412e-005	1.663206e-005	8.303510e-006	4.173349e-006
6.660000000000000e-001	6.656823e-005	3.326413e-005	1.660702e-005	8.346698e-006
9.990000000000001e-001	9.985235e-005	4.989619e-005	2.491053e-005	1.252005e-005
1.000000000000000e+000	9.995230e-005	4.994614e-005	2.493547e-005	1.253258e-005
Step Information: Run=30  (Run: 30/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.323693e-005	1.667360e-005	8.325416e-006	4.152621e-006
6.660000000000000e-001	6.647386e-005	3.334720e-005	1.665083e-005	8.305242e-006
9.990000000000001e-001	9.971079e-005	5.002079e-005	2.497625e-005	1.245786e-005
1.000000000000000e+000	9.981060e-005	5.007087e-005	2.500125e-005	1.247033e-005
Step Information: Run=31  (Run: 31/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.329114e-005	1.664160e-005	8.331842e-006	4.172193e-006
6.660000000000000e-001	6.658228e-005	3.328320e-005	1.666368e-005	8.344386e-006
9.990000000000001e-001	9.987342e-005	4.992479e-005	2.499552e-005	1.251658e-005
1.000000000000000e+000	9.997340e-005	4.997477e-005	2.502055e-005	1.252911e-005
Step Information: Run=32  (Run: 32/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.337019e-005	1.662112e-005	8.317465e-006	4.159798e-006
6.660000000000000e-001	6.674037e-005	3.324224e-005	1.663493e-005	8.319596e-006
9.990000000000001e-001	1.001106e-004	4.986335e-005	2.495240e-005	1.247939e-005
1.000000000000000e+000	1.002108e-004	4.991327e-005	2.497737e-005	1.249189e-005
Step Information: Run=33  (Run: 33/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.329585e-005	1.657024e-005	8.337177e-006	4.163526e-006
6.660000000000000e-001	6.659170e-005	3.314047e-005	1.667435e-005	8.327052e-006
9.990000000000001e-001	9.988755e-005	4.971071e-005	2.501153e-005	1.249058e-005
1.000000000000000e+000	9.998753e-005	4.976047e-005	2.503657e-005	1.250308e-005
Step Information: Run=34  (Run: 34/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.329002e-005	1.668389e-005	8.307352e-006	4.150233e-006
6.660000000000000e-001	6.658005e-005	3.336779e-005	1.661470e-005	8.300465e-006
9.990000000000001e-001	9.987007e-005	5.005168e-005	2.492206e-005	1.245070e-005
1.000000000000000e+000	9.997004e-005	5.010178e-005	2.494700e-005	1.246316e-005
Step Information: Run=35  (Run: 35/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
